"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
"","",8,0,251,252 days,100.0,146.379933,46.379933,49.448649,100.0,0.0,16.243308,73 days,2,1,1,5.124992,100.000000,41.254941,41.254941,41.254941,NaN,129 days 00:00:00,NaT,inf,41.254941,1.685365,4.534440,1.369477,2.794049
"","",9,0,251,252 days,100.0,124.587706,24.587706,169.717624,100.0,0.0,7.756384,16 days,1,0,1,24.587706,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,1.841551,4.834106,1.605947,2.666453
"","",10,0,251,252 days,100.0,143.688156,43.688156,131.497585,100.0,0.0,7.756384,16 days,1,0,1,43.688156,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.512849,8.902111,1.725783,4.053483
"","",11,0,251,252 days,100.0,141.469265,41.469265,90.433905,100.0,0.0,9.023246,32 days,1,0,1,41.469265,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.177278,7.234672,1.511013,3.427342
"","",12,0,251,252 days,100.0,141.289355,41.289355,66.931638,100.0,0.0,9.023246,45 days,1,1,0,0.000000,100.000000,41.289355,41.289355,41.289355,NaN,151 days 00:00:00,NaT,inf,41.289355,2.138536,7.200941,1.486786,3.351238
"","",13,0,251,252 days,100.0,103.557365,3.557365,54.274231,100.0,0.0,7.025519,23 days,2,1,1,4.627914,0.000000,-1.070549,-1.070549,NaN,-1.070549,NaT,16 days 00:00:00,0.000000,-1.070549,0.542953,0.739214,1.260569,0.818679
"","",14,0,251,252 days,100.0,108.289044,8.289044,61.024533,100.0,0.0,7.025519,23 days,2,1,1,9.359594,0.000000,-1.070549,-1.070549,NaN,-1.070549,NaT,16 days 00:00:00,0.000000,-1.070549,0.881511,1.740197,1.263841,1.343926
"","",15,0,251,252 days,100.0,115.776857,15.776857,56.037917,100.0,0.0,9.020941,23 days,3,2,1,3.690018,50.000000,13.299769,-1.070549,13.299769,-1.070549,70 days 00:00:00,16 days 00:00:00,12.290317,6.043420,1.213884,2.620303,1.311487,1.965048
"","",16,0,251,252 days,100.0,94.496064,-5.503936,19.323915,100.0,0.0,19.248251,30 days,4,4,0,0.000000,50.000000,13.299769,-16.798593,7.313762,-8.934571,45 days 12:00:00,15 days 00:00:00,0.726846,-1.375984,-0.230449,-0.409002,0.955235,-0.314585
"","",17,0,251,252 days,100.0,94.496064,-5.503936,-1.804827,100.0,0.0,19.248251,65 days,4,4,0,0.000000,50.000000,13.299769,-16.798593,7.313762,-8.934571,45 days 12:00:00,15 days 00:00:00,0.726846,-1.375984,-0.230449,-0.409002,0.955235,-0.314585
